city,lat,lng,population,density
New York,40.6943,-73.9249,18972871,10768.2
Los Angeles,34.1141,-118.4068,12121244,3267.6
Chicago,41.8375,-87.6866,8595181,4576.6
Miami,25.784,-80.2101,5711945,4945.7
Dallas,32.7935,-96.7667,5668165,1522.2
Houston,29.786,-95.3885,5650910,1394.6
Philadelphia,40.0077,-75.1339,5512873,4544.9
Atlanta,33.7628,-84.422,5046555,1419.9
Washington,38.9047,-77.0163,4810669,4434.0
Boston,42.3188,-71.0852,4208580,5505.8
Phoenix,33.5722,-112.0892,4047095,1235.5
Detroit,42.3834,-83.1024,3522856,1871.2
Seattle,47.6211,-122.3244,3438221,3412.2
San Francisco,37.7558,-122.4449,3290197,7199.4
San Diego,32.8313,-117.1222,3084174,1675.9
Minneapolis,44.9635,-93.2678,2856952,3035.5
Brooklyn,40.6501,-73.9496,2736074,15200.5
Tampa,27.9945,-82.4447,2683956,1340.7
Denver,39.762,-104.8758,2650725,1805.7
Queens,40.7498,-73.7976,2405464,8503.7
Baltimore,39.3051,-76.6144,2205092,2872.8
Las Vegas,36.2333,-115.2654,2150373,1754.7
St. Louis,38.6359,-90.2451,2092481,1905.7
Portland,45.5371,-122.65,2036875,1881.6
Riverside,33.9381,-117.3949,2022285,1557.0
Orlando,28.4773,-81.337,1927699,992.0
Sacramento,38.5677,-121.4685,1924167,1971.3
San Juan,18.3985,-66.061,1915105,2982.2
San Antonio,29.4632,-98.5238,1910785,1184.5
San Jose,37.3012,-121.848,1729879,2229.0
Pittsburgh,40.4397,-79.9763,1720279,2100.7
Cincinnati,39.1413,-84.506,1712287,1500.2
Manhattan,40.7834,-73.9662,1694263,28653.9
Cleveland,41.4764,-81.6805,1683059,1904.0
Indianapolis,39.7771,-86.1458,1659305,928.2
Austin,30.3005,-97.7522,1659251,1165.6
Kansas City,39.1238,-94.5541,1644497,602.6
Columbus,39.9862,-82.9855,1556848,1559.5
Charlotte,35.2083,-80.8303,1516107,1091.0
Virginia Beach,36.7335,-76.0435,1500764,711.4
Bronx,40.8501,-73.8662,1472654,13356.3
Milwaukee,43.0642,-87.9675,1340981,2379.0
Providence,41.823,-71.4187,1270149,3764.8
Jacksonville,30.3322,-81.6749,1220191,466.3
Salt Lake City,40.7776,-111.9311,1135344,700.3
Nashville,36.1715,-86.7842,1098486,541.3
Raleigh,35.8324,-78.6429,1062018,1232.8
Memphis,35.1087,-89.9663,1034498,852.1
Louisville,38.1663,-85.6485,1022630,907.6
Richmond,37.5295,-77.4756,1008069,1477.0
Buffalo,42.9018,-78.8487,1004655,2446.1
Oklahoma City,35.4676,-97.5136,994284,413.7
Bridgeport,41.1918,-73.1954,975078,3485.4
New Orleans,30.0687,-89.9288,925443,891.2
Fort Worth,32.7817,-97.3474,908469,988.3
Hartford,41.7661,-72.6834,907046,2722.5
Tucson,32.1541,-110.8787,875284,873.6
Honolulu,21.3294,-157.846,835291,2214.1
McAllen,26.2252,-98.2467,809002,883.4
Omaha,41.2627,-96.0529,806485,1299.2
El Paso,31.8476,-106.43,794344,1015.8
Albuquerque,35.1054,-106.6465,765693,1155.5
Rochester,43.168,-77.6162,737309,2227.6
Sarasota,27.3387,-82.5432,727388,1518.1
Fresno,36.783,-119.7939,719558,1757.3
Tulsa,36.1283,-95.9042,715983,785.8
Allentown,40.5961,-75.4756,714136,2663.3
Dayton,39.7805,-84.2003,709300,971.7
Birmingham,33.5279,-86.7971,704676,553.9
Charleston,32.8168,-79.9687,685517,460.9
Cape Coral,26.6443,-81.9957,682773,690.5
Columbia,34.0378,-80.9036,640502,377.3
Concord,37.9722,-122.0016,640270,1633.1
Colorado Springs,38.8674,-104.7605,628808,930.0
Springfield,42.1155,-72.5395,620494,1861.8
Knoxville,35.9692,-83.9496,619925,733.3
Baton Rouge,30.442,-91.1311,610751,993.9
Ogden,41.2279,-111.9682,608259,1221.9
Grand Rapids,42.9619,-85.6562,604311,1719.6
Albany,42.6664,-73.7987,604077,1747.3
Bakersfield,35.3529,-119.0359,590845,979.0
Mission Viejo,33.6096,-117.6551,588540,2091.0
New Haven,41.3113,-72.9246,587648,2693.4
Worcester,42.2705,-71.8079,573573,1913.8
Provo,40.2457,-111.6457,551645,1082.6
Akron,41.0798,-81.5219,546549,1230.5
Palm Bay,27.9631,-80.6593,528322,508.2
Des Moines,41.5725,-93.6105,514654,943.2
Murrieta,33.5719,-117.1909,509526,1310.3
